"DateTime";"FLORIANOPOLIS"
"2021-01-30 17:00:00";24
"2021-01-30 18:00:00";14
"2021-01-30 19:00:00";35
"2021-01-30 20:00:00";27
"2021-01-30 21:00:00";12
"2021-01-30 22:00:00";9
"2021-01-30 23:00:00";325
"2021-01-31 00:00:00";321
"2021-01-31 01:00:00";338
"2021-01-31 02:00:00";283
"2021-01-31 03:00:00";351
"2021-01-31 04:00:00";294
"2021-01-31 05:00:00";317
"2021-01-31 06:00:00";311
"2021-01-31 07:00:00";322
"2021-01-31 08:00:00";350
"2021-01-31 09:00:00";355
"2021-01-31 10:00:00";15
"2021-01-31 11:00:00";331
"2021-01-31 12:00:00";305
"2021-01-31 13:00:00";307
"2021-01-31 14:00:00";297
"2021-01-31 15:00:00";27
"2021-01-31 16:00:00";40
"2021-01-31 17:00:00";107
"2021-01-31 18:00:00";145
"2021-01-31 19:00:00";150
"2021-01-31 20:00:00";154
"2021-01-31 21:00:00";149
"2021-01-31 22:00:00";145
"2021-01-31 23:00:00";117
