"TOA5","IFSC02","CR1000","51714","CR1000.Std.32.03","CPU:PT100.CR1","46048","exp03"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","termopar_Avg","T108_Avg","T_Avg","termopar_Std","T108_Std","T_Std"
"TS","RN","","","","","","","",""
"","","Min","Smp","Avg","Avg","Avg","Std","Std","Std"
"2019-05-20 09:21:00",23,12.19,24.42,20.26,15.01,16.77,3.843,0.485,3.329
"2019-05-20 09:22:00",24,12.19,24.42,30.69,23.26,20.83,0.44,2.756,2.201
"2019-05-20 09:23:00",25,12.19,24.42,30.74,26.83,26.6,0.093,0.318,3.849
"2019-05-20 09:24:00",26,12.19,24.45,30.32,27.58,26.73,0.107,0.136,2.872
"2019-05-20 09:25:00",27,12.19,24.48,30.26,27.98,29.28,0.075,0.105,3.6
"2019-05-20 09:26:00",28,12.19,24.57,30.19,28.27,29.16,0.08,0.078,3.216
"2019-05-20 09:27:00",29,12.19,24.69,30.35,28.52,28.72,0.836,0.093,0.288
"2019-05-20 09:28:00",30,12.19,24.78,33.31,31.94,36.05,0.244,1.325,4.757
"2019-05-20 09:29:00",31,12.19,24.87,34.08,33.4,34.19,5.035,0.595,1.928
"2019-05-20 09:30:00",32,12.19,24.92,40.3,39.9,43.4,0.341,0.999,4.438
"2019-05-20 09:31:00",33,12.19,25.01,39.84,40.17,37.73,0.089,0.065,2.739
"2019-05-20 09:32:00",34,12.19,25.1,39.76,39.92,40.92,0.061,0.083,2.162
"2019-05-20 09:33:00",35,12.19,25.16,39.6,39.73,37.68,0.061,0.056,3.299
"2019-05-20 09:34:00",36,12.19,25.19,39.47,39.59,41.12,0.068,0.033,4.14
"2019-05-20 09:35:00",37,12.19,25.25,39.45,39.45,37.22,0.26,0.064,4.045
"2019-05-20 09:36:00",38,12.19,25.31,45.21,43.02,42.8,1.895,2.19,4.987
"2019-05-20 09:37:00",39,12.19,25.34,46.14,45.88,45.97,0.112,0.188,4.283
"2019-05-20 09:38:00",40,12.19,25.4,45.81,45.55,46.45,0.055,0.083,2.572
"2019-05-20 09:39:00",41,12.19,25.43,45.49,45.64,44.75,0.131,0.138,3.73
"2019-05-20 09:40:00",42,12.19,25.46,45.34,45.24,44.23,0.067,0.143,4.196
"2019-05-20 09:41:00",43,12.19,25.52,45.08,44.9,48.31,0.171,0.081,2.926
"2019-05-20 09:42:00",44,12.19,25.55,47.55,46.33,48.66,2.029,1.48,3.359
"2019-05-20 09:43:00",45,12.19,25.58,51.71,50.4,46.74,0.986,0.638,4.026
"2019-05-20 09:44:00",46,12.19,25.67,51.01,50.72,51.26,0.11,0.046,0.132
"2019-05-20 09:45:00",47,12.19,25.7,50.78,50.68,50.93,0.074,0.04,3.906
"2019-05-20 09:46:00",48,12.19,25.7,50.2,50.59,52.22,0.195,0.075,2.227
"2019-05-20 09:47:00",49,12.19,25.73,50.06,50.22,54.37,0.078,0.059,3.897
